Open,High,Low,Close,Volume,VWAP
249.82,263.96,245.98,246.63,737938,252.13
480.29,483.34000000000003,473.82,471.72,159500,474.05
392.8,404.33,388.27000000000004,390.99,970946,392.55
339.46,351.59,332.35999999999996,335.68,156358,338.36
162.41,170.89,161.02,165.95,166197,168.4
162.4,177.13,152.02,164.52,593992,163.58
123.23,141.92000000000002,121.88000000000001,120.52000000000001,848149,130.21
446.47,464.98,430.46000000000004,440.83000000000004,323492,443.73
340.45,349.46999999999997,335.78,350.21,885833,346.31
383.23,385.49,372.43,382.31,526070,379.41
108.23,127.93,90.63,112.0,176240,111.88
487.96,504.74,474.94,480.77,335595,483.98
432.98,435.47,422.32,432.69,622710,431.9
184.94,203.36,178.45,175.49,845423,184.97
172.73,190.13,166.07,172.84,378466,174.72
173.36,183.74,159.97000000000003,182.64000000000001,999485,175.84
221.7,233.53,201.82,219.38,106968,221.42
309.9,317.88,296.65999999999997,300.67999999999995,389662,304.91
272.78,273.88,261.61999999999995,263.4,938357,264.6
216.49,223.19,201.88,214.25,290920,210.81
344.74,360.8,335.44,337.94,998332,345.06
155.8,155.89000000000001,154.60000000000002,146.27,979854,152.05
216.86,223.53,205.61,221.98000000000002,363844,218.92
246.54,254.5,227.39,245.70999999999998,980214,239.93
282.43,293.18,278.92,278.21,332076,280.57
414.07,432.46999999999997,400.27,422.07,123199,420.94
179.87,186.8,175.85,172.19,537805,178.33
305.69,312.63,294.96999999999997,314.81,263187,309.27
336.97,351.72,335.04,333.25,555150,337.4
118.58,127.62,109.57,126.35,609551,119.74
343.02,347.51,327.9,345.08,613942,342.64
168.21,177.26000000000002,161.26000000000002,174.74,809676,173.53
126.02,128.84,112.72,135.7,105520,124.57
479.55,483.08,463.64,475.32,734102,471.59
486.25,496.22,467.71,495.47,267527,487.15
423.36,431.74,418.67,421.15000000000003,870644,421.98
221.85,240.15,213.85999999999999,219.56,747652,222.39
139.07,146.32,136.01999999999998,135.88,639243,136.55
373.69,385.3,353.84,374.52,275121,370.61
276.06,288.71,257.52,269.14,769277,269.22
148.82,149.07999999999998,138.01999999999998,149.89,571797,143.9
298.07,311.34,281.23,298.9,350144,297.93
113.76,117.32000000000001,103.34,119.0,164925,113.69
463.73,482.95000000000005,451.26,470.40000000000003,469360,469.39
203.51,206.48,201.73,202.32,694557,200.09
365.01,373.3,349.9,361.06,403602,361.4
224.68,226.39000000000001,222.13,219.87,451181,226.66
308.03,327.96999999999997,291.51,301.91999999999996,776473,305.87
318.68,328.72,303.04,309.83,199977,315.11
173.94,185.85,159.77,170.79,605838,173.63
487.83,489.16999999999996,487.10999999999996,483.22999999999996,619163,487.91
410.05,425.05,403.99,419.38,583442,416.8
475.8,480.0,470.54,476.95,930371,477.07
457.93,475.89,450.73,454.88,129345,461.34
339.16,343.26000000000005,337.41,340.77000000000004,879976,341.78
468.75,472.56,450.01,461.53,472251,459.15
135.4,136.13,124.32000000000001,134.28,886086,128.43
178.39,187.82999999999998,172.27999999999997,180.91,593814,177.29
118.09,129.39000000000001,110.15,117.87,431310,118.47
230.13,231.44,221.19,228.17,803221,228.24
255.47,270.98,243.46,265.35,197406,258.26
208.54,217.60999999999999,198.23,216.15,411442,213.06
431.5,441.99,413.11,433.97,407086,429.11
242.7,251.51999999999998,232.76,244.08999999999997,627741,241.93
212.37,220.39000000000001,192.53,214.78,727099,208.12
317.08,328.27,300.04999999999995,311.10999999999996,679223,309.17
156.37,159.47,152.20000000000002,154.27,484583,155.67
420.88,424.52,402.27,411.67,798730,416.13
129.82,147.06,127.49,129.32999999999998,894760,133.97
494.75,513.67,478.4,495.61,115534,492.16
408.9,416.37,401.28999999999996,403.45,971712,408.24
179.49,184.9,161.93,188.77,660608,176.31
102.21,115.08999999999999,84.85,110.39999999999999,673458,101.72
426.18,434.35,410.06,430.62,200546,425.09
382.74,383.25,366.94,383.41,704489,378.67
391.6,394.72,385.51000000000005,399.0,858761,391.65
408.51,422.83,406.89,401.12,370784,408.81
129.62,142.8,121.56,135.43,331324,134.91
243.39,243.92999999999998,239.92,235.89,584273,241.22
146.35,150.79,132.45,152.23,785409,148.37
445.24,449.86,438.32,440.76,498834,446.58
349.32,362.76,329.81,356.86,333612,352.13
232.36,232.75,219.54000000000002,241.24,811413,231.75
125.42,127.5,108.97,118.4,406081,120.02
224.39,240.39,221.73999999999998,223.64,825084,229.03
230.07,233.64,212.82999999999998,239.69,243279,230.83
391.84,404.89,373.38,391.51,296846,390.44
355.02,359.78,345.28,362.28999999999996,788332,354.61
454.89,456.88,442.76,456.65999999999997,504015,450.5
288.89,293.75,273.59,286.4,826448,284.57
147.84,162.29,144.34,143.56,522132,149.71
385.3,402.41,375.25,379.36,170463,383.68
404.31,420.91,396.34,409.55,193500,409.84
324.51,332.45,321.58,322.24,307772,329.27
408.39,421.75,401.03999999999996,408.62,661446,406.8
297.52,301.62,296.15999999999997,297.37,184607,299.45
309.09,314.95,308.57,310.64,869305,311.18
271.02,288.95,268.32,278.33,433840,279.41
110.17,110.43,90.91,119.78,947942,107.45
143.16,144.87,132.17,141.31,220076,139.34
112.57,116.72999999999999,93.25,119.11999999999999,158692,110.9
354.56,355.09,345.91,359.85,755129,353.64
225.74,229.37,219.5,227.21,817104,222.5
303.43,315.09000000000003,293.31,312.55,902242,307.07
463.03,471.46,454.23999999999995,457.03999999999996,261081,457.69
199.72,217.57,197.60999999999999,191.91,211718,202.62
264.15,280.5,251.32999999999998,271.22999999999996,453076,264.31
402.22,409.06,397.90000000000003,401.0,624480,404.55
191.52,196.71,179.13,198.46,347536,193.0
130.79,138.38,117.78999999999999,138.65,136413,133.18
215.9,227.71,212.86,207.15,243888,210.7
164.49,169.85000000000002,163.26000000000002,172.16,663370,168.14
471.88,484.36,456.26,470.85,951480,472.83
423.25,431.44,414.05,423.46,747418,421.99
353.36,364.40000000000003,352.2,355.89,675228,355.18
448.58,457.3,428.68,457.10999999999996,787490,447.36
421.47,427.36,420.31,411.85,664430,418.9
174.63,193.6,160.73,174.17,622780,174.26
457.02,472.28999999999996,437.34999999999997,460.77,136468,459.67
315.74,318.54,310.96000000000004,320.19,766015,316.8
422.98,440.35,420.14000000000004,426.83000000000004,278969,427.77
458.44,468.19,456.01,451.13,523291,455.11
227.2,245.08999999999997,221.13,223.19,595413,230.11
144.02,160.02,142.0,141.19,336187,148.01
191.17,199.67,177.32999999999998,197.26,142056,190.42
270.84,271.28999999999996,269.59,266.41999999999996,151831,264.36
427.21,432.58,417.02,421.41999999999996,945623,424.27
444.29,455.12,424.36,453.44,873952,444.85
102.78,115.45,86.5,92.96000000000001,526488,98.44
304.3,309.46000000000004,292.0,314.26,732405,310.06
266.96,269.75,260.83,270.5,376815,267.32
188.84,205.54,176.36,195.41,389192,191.71
147.95,167.64,137.41,143.83999999999997,912395,146.76
235.05,245.56,226.53,225.34,668242,231.14
477.16,480.59000000000003,474.55,481.92,565525,479.63
229.28,234.73,211.55,235.96,333192,228.37
307.52,307.89,298.52,312.33,457574,310.3
381.21,399.5,377.32,374.07,625005,383.67
245.45,247.81,238.08999999999997,250.51999999999998,373820,245.71
488.71,500.23999999999995,480.43,494.09,497650,490.42
484.98,490.46000000000004,468.43,488.15000000000003,280882,483.46
200.71,211.79000000000002,186.04000000000002,206.03,218696,199.95
298.9,311.92999999999995,283.51,305.82,104994,301.32
220.35,236.94,220.13,222.62,890666,227.14
213.94,218.07,205.62,205.71,169300,208.96
114.75,114.97,105.12,114.5,406093,110.57
343.83,346.57,343.45,335.38,661693,336.79
301.07,319.07,295.87,299.21999999999997,397016,306.46
120.59,138.07,105.38,118.73,404359,121.33
211.46,223.41,208.72,202.78,647473,211.61
463.31,475.32,452.6,460.29,798802,459.37
195.82,209.12,191.51999999999998,188.04,616479,198.17
157.96,161.47,157.72,164.12,544975,160.47
295.78,314.07,290.96,304.72999999999996,927585,302.82
494.26,502.64,474.74,485.71,439679,485.36
196.82,204.48,180.79,205.92,757941,194.38
368.85,379.23,349.66,369.3,151717,368.7
404.65,405.59,394.89,400.64,102763,402.97
195.06,198.39000000000001,192.87,186.6,455054,191.69
391.29,406.05,380.33000000000004,391.3,155480,391.08
247.11,248.77,238.02,253.0,794119,246.48
352.92,364.98,336.03000000000003,357.06,307139,352.43
353.41,358.32000000000005,351.45000000000005,344.41,218094,348.3
314.31,322.1,304.55,305.77,780667,309.72
136.12,141.89000000000001,133.12,134.18,851731,136.48
434.12,441.23,427.63,430.03000000000003,635352,434.71
228.31,242.69,213.56,222.96,176848,226.09
174.61,180.55,165.09,170.23000000000002,661836,168.63
116.31,127.64,108.79,122.38,268017,120.59
336.36,345.88,328.47,344.94,892908,339.77
371.03,384.29999999999995,361.84,369.13,544972,374.23
106.64,125.38,90.94,114.76,976533,113.66
304.84,319.48999999999995,287.0,301.27,626670,305.38
190.6,194.9,171.49,190.13,542899,184.85
358.07,358.69,342.33,352.59,581215,355.32
169.75,175.0,163.44,172.56,800636,171.26
376.38,388.28,362.62,385.96,585097,382.91
254.69,255.72,245.94,256.76,603516,252.2
474.69,484.62,469.6,471.85,520162,474.41
155.01,166.95,138.19,157.97,703986,155.28
236.43,243.11,235.66,228.89000000000001,870050,235.49
145.39,160.80999999999997,127.35,153.16,867669,150.22
469.88,472.01,460.65,469.94,145095,467.31
450.94,452.44,438.2,449.93,573146,449.49
203.18,217.74,189.99,204.9,492118,205.74
